
Valores Confirmados

Fecha;APORTA;;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2000-03-01;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-02;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-03;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-04;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-05;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-06;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-07;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-08;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-09;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-10;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-11;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-12;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-13;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-14;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-15;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-16;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-17;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-18;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-19;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-20;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2000-03-21;10.000,00;0;10.000,00;0;9.000,00;0;17.700,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
