
Valores Confirmados

Fecha;CUPRUM;;HABITAT;;MAGISTER;;PLANVITAL;;PROVIDA;;SANTA MARIA;;SUMMA BANSANDER
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2002-08-01;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-02;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-03;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-04;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-05;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-06;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-07;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-08;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-09;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-10;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-11;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-12;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-13;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-14;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-15;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-16;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-17;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-18;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-19;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-20;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-21;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-22;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-23;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-24;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-25;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-26;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-27;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-28;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-29;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-30;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-08-31;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-09-01;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-09-02;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-09-03;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-09-04;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
2002-09-05;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0;10.000,00;0
