
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-01-01;23.933,51;3025360675676;24.852,44;3188521437542;25.085,71;3051262162909;24.955,21;14297944907;23.626,37;261892113930;25.048,55;3189411459592
2012-01-02;23.917,77;3023160613153;24.844,69;3186195450675;25.067,89;3047495586263;24.930,41;14282433448;23.627,25;261810750624;25.039,11;3187819923648
2012-01-03;23.905,42;3016937714281;24.835,35;3188353617557;25.068,09;3043273465466;24.937,53;15094264542;23.626,88;256738341066;25.024,28;3177909453981
2012-01-04;24.141,27;3046702372081;25.041,62;3213841493235;25.289,68;3069283673123;25.131,70;15211181471;23.853,51;259255236218;25.269,68;3208054399653
2012-01-05;24.132,72;3044458387019;25.052,34;3214366824091;25.295,10;3069360014692;25.128,50;15234621439;23.869,14;262857242208;25.272,48;3207417524267
2012-01-06;24.073,72;3034940710801;24.990,03;3205675749249;25.219,85;3059818409803;25.083,17;15225265934;23.824,78;262331992484;25.194,41;3196242671705
2012-01-07;24.073,72;3034940710801;24.990,03;3205675749249;25.219,85;3059818409803;25.083,17;15225265934;23.824,78;262331992484;25.194,41;3196242671705
2012-01-08;24.073,72;3034940710801;24.990,03;3205675749249;25.219,85;3059818409803;25.083,17;15225265934;23.824,78;262331992484;25.194,41;3196242671705
2012-01-09;23.973,25;3021538683201;24.883,17;3191357103952;25.107,44;3045207177541;24.974,91;15174281835;23.733,62;261269362859;25.082,22;3181756227574
2012-01-10;24.101,33;3037436815686;25.010,97;3206484956824;25.246,38;3061464145649;25.103,60;15299969180;23.839,19;262434059327;25.230,88;3200211188892
2012-01-11;24.314,99;3064422086863;25.206,70;3231468731735;25.445,96;3085701524783;25.301,10;15464546374;24.042,14;264657312156;25.432,05;3224771715574
2012-01-12;24.271,35;3061079330744;25.172,83;3229367433009;25.412,61;3083789552525;25.256,06;15611890276;24.018,12;264512287710;25.396,59;3221331130136
