
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2012-01-01;20.405,36;2321062503258;21.195,61;1823261807763;21.209,29;2353940593554;20.503,07;31689410571;20.036,47;405953118575;20.146,06;3397261107127
2012-01-02;20.402,62;2320990167862;21.211,50;1824567611443;21.215,06;2353493893227;20.512,10;31703288710;20.042,09;406059136246;20.154,52;3400730736117
2012-01-03;20.398,52;2320356916427;21.208,20;1825075314371;21.215,81;2355239641778;20.510,44;34347054406;20.042,05;405188333206;20.149,75;3399583211365
2012-01-04;20.432,88;2324890371124;21.226,95;1826247626073;21.244,15;2359163483561;20.532,51;34379445910;20.063,91;405087100092;20.178,75;3404278289252
2012-01-05;20.443,92;2325997046083;21.243,49;1827795883978;21.258,76;2358454665645;20.547,87;34436975483;20.078,53;406041709896;20.199,82;3408236681611
2012-01-06;20.447,98;2327912038626;21.260,89;1829057447738;21.262,43;2358719783524;20.559,43;34461930174;20.096,49;406387749670;20.207,39;3397847009922
2012-01-07;20.447,98;2327912038626;21.260,89;1829057447738;21.262,43;2358719783524;20.559,43;34461930174;20.096,49;406387749670;20.207,39;3397847009922
2012-01-08;20.447,98;2327912038626;21.260,89;1829057447738;21.262,43;2358719783524;20.559,43;34461930174;20.096,49;406387749670;20.207,39;3397847009922
2012-01-09;20.439,66;2326603120011;21.251,47;1827344729391;21.254,89;2355058203466;20.559,64;34472162484;20.094,53;405925749552;20.200,97;3395323173307
2012-01-10;20.465,08;2327919324885;21.275,01;1830398360356;21.283,17;2357001161907;20.579,96;34509347080;20.112,09;406209969966;20.228,54;3398791737320
2012-01-11;20.496,29;2330179141238;21.298,63;1826593254096;21.301,83;2359910171432;20.597,49;34552070840;20.125,05;406569565237;20.244,31;3401065499531
2012-01-12;20.494,32;2329292345881;21.309,52;1826531855887;21.308,03;2357807175680;20.605,82;34591360417;20.139,45;404975282244;20.251,92;3403265652971
2012-01-13;20.489,29;2322596353144;21.306,40;1828708983971;21.302,59;2351252654121;20.604,61;34626630227;20.141,53;405250510052;20.246,22;3403943136259
2012-01-14;20.489,29;2322596353144;21.306,40;1828708983971;21.302,59;2351252654121;20.604,61;34626630227;20.141,53;405250510052;20.246,22;3403943136259
