
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2010-01-01;23.050,39;3068119298249;23.290,37;3054551245858;23.467,49;2870208465093;22.353,75;253686538209;23.850,87;3367550801188
2010-01-02;23.050,39;3068119298249;23.290,37;3054551245858;23.467,49;2870208465093;22.353,75;253686538209;23.850,87;3367550801188
2010-01-03;23.050,39;3068119298249;23.290,37;3054551245858;23.467,49;2870208465093;22.353,75;253686538209;23.850,87;3367550801188
2010-01-04;23.116,59;3076816585250;23.371,30;3065621588322;23.495,44;2873852004980;22.417,57;254474290387;23.916,83;3377682424414
2010-01-05;23.357,23;3108173192746;23.591,11;3094608024503;23.790,69;2909272151371;22.648,63;251602925564;24.166,18;3422516986239
2010-01-06;23.575,41;3138332313861;23.828,55;3125596213379;23.958,11;2930833419239;22.841,28;253817794566;24.374,61;3451756094858
2010-01-07;23.567,63;3139905755284;23.805,59;3123965470261;23.962,90;2931240719185;22.824,52;259607994337;24.360,16;3450099708476
2010-01-08;23.468,98;3130404919766;23.711,33;3112859075052;23.887,29;2923138356251;22.739,91;258660511158;24.263,02;3437727615214
2010-01-09;23.468,98;3130404919766;23.711,33;3112859075052;23.887,29;2923138356251;22.739,91;258660511158;24.263,02;3437727615214
2010-01-10;23.468,98;3130404919766;23.711,33;3112859075052;23.887,29;2923138356251;22.739,91;258660511158;24.263,02;3437727615214
2010-01-11;23.530,77;3139986863943;23.750,31;3119809764884;23.960,71;2935189016492;22.803,88;259502608856;24.331,53;3449216860347
2010-01-12;23.624,77;3153384857485;23.845,90;3133707123797;24.028,35;2945548449181;22.885,84;260459389632;24.423,12;3463283776843
2010-01-13;23.512,05;3140064777075;23.725,22;3122550993718;23.903,72;2935708108126;22.780,16;259531181623;24.296,17;3447141107169
2010-01-14;23.454,72;3136134739208;23.656,12;3117723967542;23.879,57;2937071509549;22.734,01;259409647457;24.242,88;3444194590253
2010-01-15;23.561,03;3163180103890;23.757,83;3145684993132;23.974,88;2954987333494;22.811,63;260157830395;24.340,85;3454982563913
2010-01-16;23.561,03;3163180103890;23.757,83;3145684993132;23.974,88;2954987333494;22.811,63;260157830395;24.340,85;3454982563913
2010-01-17;23.561,03;3163180103890;23.757,83;3145684993132;23.974,88;2954987333494;22.811,63;260157830395;24.340,85;3454982563913
2010-01-18;23.439,06;3155274346505;23.646,07;3136245726844;23.818,94;2943020078890;22.700,35;259516043687;24.211,04;3447207594587
2010-01-19;23.431,15;3156800504704;23.630,95;3136214109665;23.832,66;2946722771358;22.701,43;259748050673;24.204,81;3448309913980
2010-01-20;23.514,18;3170078105436;23.714,50;3148947313562;23.931,91;2961299787425;22.780,39;260690136652;24.295,76;3462810547107
2010-01-21;23.382,78;3153385429274;23.612,88;3137168046981;23.742,77;2938220353398;22.627,49;259007270486;24.145,10;3441385522556
2010-01-22;23.143,13;3122954664207;23.379,64;3109259130224;23.512,33;2911281799368;22.391,74;256433148014;23.885,91;3404033749020
2010-01-23;23.143,13;3122954664207;23.379,64;3109259130224;23.512,33;2911281799368;22.391,74;256433148014;23.885,91;3404033749020
2010-01-24;23.143,13;3122954664207;23.379,64;3109259130224;23.512,33;2911281799368;22.391,74;256433148014;23.885,91;3404033749020
2010-01-25;22.914,08;3094347567164;23.146,94;3080734307933;23.281,18;2883555226557;22.159,34;253824607528;23.647,93;3373084288991
2010-01-26;22.919,68;3097940192143;23.148,33;3083081243965;23.301,13;2888098550217;22.168,05;254068597308;23.661,05;3376139466232
2010-01-27;22.758,28;3078512045227;22.983,46;3061629127451;23.143,34;2870420457738;21.990,43;252133652465;23.466,62;3350685705868
